CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
125,Female,23,70,29,3
127,Male,43,71,35,3
129,Male,59,71,11,3
131,Male,47,71,9,3
133,Female,25,72,34,3
135,Male,20,73,5,3
137,Female,44,73,7,3
139,Male,19,74,10,3
141,Female,57,75,5,3
143,Female,28,76,40,3
145,Male,25,77,12,3
147,Male,48,77,36,3
149,Female,34,78,22,3
151,Male,43,78,17,3
153,Female,44,78,20,3
155,Female,47,78,16,3
157,Male,37,78,1,3
159,Male,34,78,1,3
161,Female,56,79,35,3
163,Male,19,81,5,3
165,Male,50,85,26,3
167,Male,42,86,20,3
169,Female,36,87,27,3
171,Male,40,87,13,3
173,Male,36,87,10,3
175,Female,52,88,13,3
177,Male,58,88,15,3
179,Male,59,93,14,3
181,Female,37,97,32,3
183,Male,46,98,15,3
185,Female,41,99,39,3
187,Female,54,101,24,3
189,Female,41,103,17,3
191,Female,34,103,23,3
193,Male,33,113,8,3
195,Female,47,120,16,3
197,Female,45,126,28,3
199,Male,32,137,18,3
